id,flag,original,new,oaw_id_x,cs_applied_x,orig_eu_outer_regions_ets_flag,orig_dom,orig_gcd+95,orig_corsia_(old),orig_swiss,orig_combined_ets_flag,orig_circular,orig_uk_ets_flag,orig_eu_ets_(old),orig_swiss_ets_flag,orig_outer,orig_eu_ets_flag,oaw_id_y,cs_applied_y,new_eu_outer_regions_ets_flag,new_dom,new_gcd+95,new_corsia_(old),new_swiss,new_combined_ets_flag,new_circular,new_uk_ets_flag,new_eu_ets_(old),new_swiss_ets_flag,new_outer,new_eu_ets_flag
33790288,eu_outer_regions_ets_flag,N,Y,33790288.0,6. EFW (Euroflyer),N,N,2863.0,Y,N,N,N,N,N,N,N,N,33790288.0,6. EFW (EUROFLYER),Y,N,2863.0,Y,N,N,N,N,N,N,N,N
33793996,eu_outer_regions_ets_flag,N,Y,33793996.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33793996.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33794171,eu_outer_regions_ets_flag,N,Y,33794171.0,6. EFW (Euroflyer),N,N,2803.0,Y,N,N,N,N,N,N,N,N,33794171.0,6. EFW (EUROFLYER),Y,N,2803.0,Y,N,N,N,N,N,N,N,N
33794545,eu_outer_regions_ets_flag,N,Y,33794545.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33794545.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33794550,eu_outer_regions_ets_flag,N,Y,33794550.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33794550.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33794554,eu_outer_regions_ets_flag,N,Y,33794554.0,6. EFW (Euroflyer),N,N,2972.0,Y,N,N,N,N,N,N,N,N,33794554.0,6. EFW (EUROFLYER),Y,N,2972.0,Y,N,N,N,N,N,N,N,N
33794593,eu_outer_regions_ets_flag,N,Y,33794593.0,6. EFW (Euroflyer),N,N,2551.0,Y,N,N,N,N,N,N,N,N,33794593.0,6. EFW (EUROFLYER),Y,N,2551.0,Y,N,N,N,N,N,N,N,N
33798473,eu_outer_regions_ets_flag,N,Y,33798473.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33798473.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33798511,eu_outer_regions_ets_flag,N,Y,33798511.0,6. EFW (Euroflyer),N,N,3006.0,Y,N,N,N,N,N,N,N,N,33798511.0,6. EFW (EUROFLYER),Y,N,3006.0,Y,N,N,N,N,N,N,N,N
33798516,eu_outer_regions_ets_flag,N,Y,33798516.0,6. EFW (Euroflyer),N,N,2863.0,Y,N,N,N,N,N,N,N,N,33798516.0,6. EFW (EUROFLYER),Y,N,2863.0,Y,N,N,N,N,N,N,N,N
